lon,lat,vs30,vs30measured
172.503,-44.03,760.0,1
172.512,-44.03,760.0,1
172.521,-44.03,760.0,1
172.53,-44.03,760.0,1
172.539,-44.03,760.0,1
172.548,-44.03,760.0,1
172.557,-44.03,760.0,1
172.566,-44.03,760.0,1
172.575,-44.03,760.0,1
172.584,-44.03,760.0,1
172.593,-44.03,760.0,1
172.602,-44.03,760.0,1
172.611,-44.03,760.0,1
172.62,-44.03,760.0,1
172.629,-44.03,760.0,1
172.638,-44.03,760.0,1
172.647,-44.03,760.0,1
172.656,-44.03,760.0,1
172.665,-44.03,760.0,1
172.674,-44.03,760.0,1
172.683,-44.03,760.0,1
172.692,-44.03,760.0,1
172.701,-44.03,760.0,1
172.71,-44.03,760.0,1
172.719,-44.03,760.0,1
172.728,-44.03,760.0,1
172.737,-44.03,760.0,1
172.746,-44.03,760.0,1
172.755,-44.03,760.0,1
172.764,-44.03,760.0,1
172.773,-44.03,760.0,1
172.782,-44.03,760.0,1
172.791,-44.03,760.0,1
172.8,-44.03,760.0,1
172.809,-44.03,760.0,1
172.818,-44.03,760.0,1
172.827,-44.03,760.0,1
172.836,-44.03,760.0,1
172.845,-44.03,760.0,1
172.854,-44.03,760.0,1
172.863,-44.03,760.0,1
172.872,-44.03,760.0,1
172.881,-44.03,760.0,1
172.89,-44.03,760.0,1
172.899,-44.03,760.0,1
172.908,-44.03,760.0,1
172.917,-44.03,760.0,1
172.926,-44.03,760.0,1
172.935,-44.03,760.0,1
172.944,-44.03,760.0,1
172.953,-44.03,760.0,1
172.962,-44.03,760.0,1
172.971,-44.03,760.0,1
172.98,-44.03,760.0,1
172.989,-44.03,760.0,1
172.998,-44.03,760.0,1
173.007,-44.03,760.0,1
173.016,-44.03,760.0,1
173.025,-44.03,760.0,1
173.034,-44.03,760.0,1
173.043,-44.03,760.0,1
173.052,-44.03,760.0,1
173.061,-44.03,760.0,1
173.07,-44.03,760.0,1
173.079,-44.03,760.0,1
173.088,-44.03,760.0,1
173.097,-44.03,760.0,1
173.106,-44.03,760.0,1
173.115,-44.03,760.0,1
173.124,-44.03,760.0,1
173.133,-44.03,760.0,1
173.142,-44.03,760.0,1
173.151,-44.03,760.0,1
173.16,-44.03,760.0,1
173.169,-44.03,760.0,1
173.178,-44.03,760.0,1
173.187,-44.03,760.0,1
173.196,-44.03,760.0,1
173.205,-44.03,760.0,1
173.214,-44.03,760.0,1
173.223,-44.03,760.0,1
173.232,-44.03,760.0,1
173.241,-44.03,760.0,1
173.25,-44.03,760.0,1
173.259,-44.03,760.0,1
173.268,-44.03,760.0,1
173.277,-44.03,760.0,1
173.286,-44.03,760.0,1
173.295,-44.03,760.0,1
173.304,-44.03,760.0,1
173.313,-44.03,760.0,1
173.322,-44.03,760.0,1
173.331,-44.03,760.0,1
173.34,-44.03,760.0,1
173.349,-44.03,760.0,1
173.358,-44.03,760.0,1
173.367,-44.03,760.0,1
173.376,-44.03,760.0,1
173.385,-44.03,760.0,1
173.394,-44.03,760.0,1
172.161,-44.021,760.0,1
172.17,-44.021,760.0,1
172.179,-44.021,760.0,1
172.188,-44.021,760.0,1
172.197,-44.021,760.0,1
172.206,-44.021,760.0,1
172.215,-44.021,760.0,1
172.224,-44.021,760.0,1
172.233,-44.021,760.0,1
172.242,-44.021,760.0,1
172.251,-44.021,760.0,1
172.26,-44.021,760.0,1
172.269,-44.021,760.0,1
172.278,-44.021,760.0,1
172.287,-44.021,760.0,1
172.296,-44.021,760.0,1
172.305,-44.021,760.0,1
172.314,-44.021,760.0,1
172.323,-44.021,760.0,1
172.332,-44.021,760.0,1
172.341,-44.021,760.0,1
172.35,-44.021,760.0,1
172.359,-44.021,760.0,1
172.368,-44.021,760.0,1
172.377,-44.021,760.0,1
172.386,-44.021,760.0,1
172.395,-44.021,760.0,1
172.404,-44.021,760.0,1
172.413,-44.021,760.0,1
172.422,-44.021,760.0,1
172.431,-44.021,760.0,1
172.44,-44.021,760.0,1
172.449,-44.021,760.0,1
172.458,-44.021,760.0,1
172.467,-44.021,760.0,1
172.476,-44.021,760.0,1
172.485,-44.021,760.0,1
172.494,-44.021,760.0,1
172.503,-44.021,760.0,1
172.512,-44.021,760.0,1
172.521,-44.021,760.0,1
172.53,-44.021,760.0,1
172.539,-44.021,760.0,1
172.548,-44.021,760.0,1
172.557,-44.021,760.0,1
172.566,-44.021,760.0,1
172.575,-44.021,760.0,1
172.584,-44.021,760.0,1
172.593,-44.021,760.0,1
172.602,-44.021,760.0,1
172.611,-44.021,760.0,1
172.62,-44.021,760.0,1
172.629,-44.021,760.0,1
172.638,-44.021,760.0,1
172.647,-44.021,760.0,1
172.656,-44.021,760.0,1
172.665,-44.021,760.0,1
172.674,-44.021,760.0,1
172.683,-44.021,760.0,1
172.692,-44.021,760.0,1
172.701,-44.021,760.0,1
172.71,-44.021,760.0,1
172.719,-44.021,760.0,1
172.728,-44.021,760.0,1
172.737,-44.021,760.0,1
172.746,-44.021,760.0,1
172.755,-44.021,760.0,1
172.764,-44.021,760.0,1
172.773,-44.021,760.0,1
172.782,-44.021,760.0,1
172.791,-44.021,760.0,1
172.8,-44.021,760.0,1
172.809,-44.021,760.0,1
172.818,-44.021,760.0,1
172.827,-44.021,760.0,1
172.836,-44.021,760.0,1
172.845,-44.021,760.0,1
172.854,-44.021,760.0,1
172.863,-44.021,760.0,1
172.872,-44.021,760.0,1
172.881,-44.021,760.0,1
172.89,-44.021,760.0,1
172.899,-44.021,760.0,1
172.908,-44.021,760.0,1
172.917,-44.021,760.0,1
172.926,-44.021,760.0,1
172.935,-44.021,760.0,1
172.944,-44.021,760.0,1
172.953,-44.021,760.0,1
172.962,-44.021,760.0,1
172.971,-44.021,760.0,1
172.98,-44.021,760.0,1
172.989,-44.021,760.0,1
172.998,-44.021,760.0,1
173.007,-44.021,760.0,1
173.016,-44.021,760.0,1
173.025,-44.021,760.0,1
173.034,-44.021,760.0,1
173.043,-44.021,760.0,1
173.052,-44.021,760.0,1
173.061,-44.021,760.0,1
173.07,-44.021,760.0,1
173.079,-44.021,760.0,1
173.088,-44.021,760.0,1
173.097,-44.021,760.0,1
173.106,-44.021,760.0,1
173.115,-44.021,760.0,1
173.124,-44.021,760.0,1
173.133,-44.021,760.0,1
173.142,-44.021,760.0,1
173.151,-44.021,760.0,1
173.16,-44.021,760.0,1
173.169,-44.021,760.0,1
173.178,-44.021,760.0,1
173.187,-44.021,760.0,1
173.196,-44.021,760.0,1
173.205,-44.021,760.0,1
173.214,-44.021,760.0,1
173.223,-44.021,760.0,1
173.232,-44.021,760.0,1
173.241,-44.021,760.0,1
173.25,-44.021,760.0,1
173.259,-44.021,760.0,1
173.268,-44.021,760.0,1
173.277,-44.021,760.0,1
173.286,-44.021,760.0,1
173.295,-44.021,760.0,1
173.304,-44.021,760.0,1
173.313,-44.021,760.0,1
173.322,-44.021,760.0,1
173.331,-44.021,760.0,1
173.34,-44.021,760.0,1
173.349,-44.021,760.0,1
173.358,-44.021,760.0,1
173.367,-44.021,760.0,1
173.376,-44.021,760.0,1
173.385,-44.021,760.0,1
173.394,-44.021,760.0,1
172.161,-44.012,760.0,1
172.17,-44.012,760.0,1
172.179,-44.012,760.0,1
172.188,-44.012,760.0,1
172.197,-44.012,760.0,1
172.206,-44.012,760.0,1
172.215,-44.012,760.0,1
172.224,-44.012,760.0,1
172.233,-44.012,760.0,1
172.242,-44.012,760.0,1
172.251,-44.012,760.0,1
172.26,-44.012,760.0,1
172.269,-44.012,760.0,1
172.278,-44.012,760.0,1
172.287,-44.012,760.0,1
172.296,-44.012,760.0,1
172.305,-44.012,760.0,1
172.314,-44.012,760.0,1
172.323,-44.012,760.0,1
172.332,-44.012,760.0,1
172.341,-44.012,760.0,1
172.35,-44.012,760.0,1
172.359,-44.012,760.0,1
172.368,-44.012,760.0,1
172.377,-44.012,760.0,1
172.386,-44.012,760.0,1
172.395,-44.012,760.0,1
172.404,-44.012,760.0,1
172.413,-44.012,760.0,1
172.422,-44.012,760.0,1
172.431,-44.012,760.0,1
172.44,-44.012,760.0,1
172.449,-44.012,760.0,1
172.458,-44.012,760.0,1
172.467,-44.012,760.0,1
172.476,-44.012,760.0,1
172.485,-44.012,760.0,1
172.494,-44.012,760.0,1
172.503,-44.012,760.0,1
172.512,-44.012,760.0,1
172.521,-44.012,760.0,1
172.53,-44.012,760.0,1
172.539,-44.012,760.0,1
172.548,-44.012,760.0,1
172.557,-44.012,760.0,1
172.566,-44.012,760.0,1
172.575,-44.012,760.0,1
172.584,-44.012,760.0,1
172.593,-44.012,760.0,1
172.602,-44.012,760.0,1
172.611,-44.012,760.0,1
172.62,-44.012,760.0,1
172.629,-44.012,760.0,1
172.638,-44.012,760.0,1
172.647,-44.012,760.0,1
172.656,-44.012,760.0,1
172.665,-44.012,760.0,1
172.674,-44.012,760.0,1
172.683,-44.012,760.0,1
172.692,-44.012,760.0,1
172.701,-44.012,760.0,1
172.71,-44.012,760.0,1
172.719,-44.012,760.0,1
172.728,-44.012,760.0,1
172.737,-44.012,760.0,1
172.746,-44.012,760.0,1
172.755,-44.012,760.0,1
172.764,-44.012,760.0,1
172.773,-44.012,760.0,1
172.782,-44.012,760.0,1
172.791,-44.012,760.0,1
172.8,-44.012,760.0,1
172.809,-44.012,760.0,1
172.818,-44.012,760.0,1
172.827,-44.012,760.0,1
172.836,-44.012,760.0,1
172.845,-44.012,760.0,1
172.854,-44.012,760.0,1
172.863,-44.012,760.0,1
172.872,-44.012,760.0,1
172.881,-44.012,760.0,1
172.89,-44.012,760.0,1
172.899,-44.012,760.0,1
172.908,-44.012,760.0,1
172.917,-44.012,760.0,1
172.926,-44.012,760.0,1
172.935,-44.012,760.0,1
172.944,-44.012,760.0,1
172.953,-44.012,760.0,1
172.962,-44.012,760.0,1
172.971,-44.012,760.0,1
172.98,-44.012,760.0,1
172.989,-44.012,760.0,1
172.998,-44.012,760.0,1
173.007,-44.012,760.0,1
173.016,-44.012,760.0,1
173.025,-44.012,760.0,1
173.034,-44.012,760.0,1
173.043,-44.012,760.0,1
173.052,-44.012,760.0,1
173.061,-44.012,760.0,1
173.07,-44.012,760.0,1
173.079,-44.012,760.0,1
173.088,-44.012,760.0,1
173.097,-44.012,760.0,1
173.106,-44.012,760.0,1
173.115,-44.012,760.0,1
173.124,-44.012,760.0,1
173.133,-44.012,760.0,1
173.142,-44.012,760.0,1
173.151,-44.012,760.0,1
173.16,-44.012,760.0,1
173.169,-44.012,760.0,1
173.178,-44.012,760.0,1
173.187,-44.012,760.0,1
173.196,-44.012,760.0,1
173.205,-44.012,760.0,1
173.214,-44.012,760.0,1
173.223,-44.012,760.0,1
173.232,-44.012,760.0,1
173.241,-44.012,760.0,1
173.25,-44.012,760.0,1
173.259,-44.012,760.0,1
173.268,-44.012,760.0,1
173.277,-44.012,760.0,1
173.286,-44.012,760.0,1
173.295,-44.012,760.0,1
173.304,-44.012,760.0,1
173.313,-44.012,760.0,1
173.322,-44.012,760.0,1
173.331,-44.012,760.0,1
173.34,-44.012,760.0,1
173.349,-44.012,760.0,1
173.358,-44.012,760.0,1
173.367,-44.012,760.0,1
173.376,-44.012,760.0,1
173.385,-44.012,760.0,1
173.394,-44.012,760.0,1
172.161,-44.003,760.0,1
172.17,-44.003,760.0,1
172.179,-44.003,760.0,1
172.188,-44.003,760.0,1
172.197,-44.003,760.0,1
172.206,-44.003,760.0,1
172.215,-44.003,760.0,1
172.224,-44.003,760.0,1
172.233,-44.003,760.0,1
172.242,-44.003,760.0,1
172.251,-44.003,760.0,1
172.26,-44.003,760.0,1
172.269,-44.003,760.0,1
172.278,-44.003,760.0,1
172.287,-44.003,760.0,1
172.296,-44.003,760.0,1
172.305,-44.003,760.0,1
172.314,-44.003,760.0,1
172.323,-44.003,760.0,1
172.332,-44.003,760.0,1
172.341,-44.003,760.0,1
172.35,-44.003,760.0,1
172.359,-44.003,760.0,1
172.368,-44.003,760.0,1
172.377,-44.003,760.0,1
172.386,-44.003,760.0,1
172.395,-44.003,760.0,1
172.404,-44.003,760.0,1
172.413,-44.003,760.0,1
172.422,-44.003,760.0,1
172.431,-44.003,760.0,1
172.44,-44.003,760.0,1
172.449,-44.003,760.0,1
172.458,-44.003,760.0,1
172.467,-44.003,760.0,1
172.476,-44.003,760.0,1
172.485,-44.003,760.0,1
172.494,-44.003,760.0,1
172.503,-44.003,760.0,1
172.512,-44.003,760.0,1
172.521,-44.003,760.0,1
172.53,-44.003,760.0,1
172.539,-44.003,760.0,1
172.548,-44.003,760.0,1
172.557,-44.003,760.0,1
172.566,-44.003,760.0,1
172.575,-44.003,760.0,1
172.584,-44.003,760.0,1
172.593,-44.003,760.0,1
172.602,-44.003,760.0,1
172.611,-44.003,760.0,1
172.62,-44.003,760.0,1
172.629,-44.003,760.0,1
172.638,-44.003,760.0,1
172.647,-44.003,760.0,1
172.656,-44.003,760.0,1
172.665,-44.003,760.0,1
172.674,-44.003,760.0,1
172.683,-44.003,760.0,1
172.692,-44.003,760.0,1
172.701,-44.003,760.0,1
172.71,-44.003,760.0,1
172.719,-44.003,760.0,1
172.728,-44.003,760.0,1
172.737,-44.003,760.0,1
172.746,-44.003,760.0,1
172.755,-44.003,760.0,1
172.764,-44.003,760.0,1
172.773,-44.003,760.0,1
172.782,-44.003,760.0,1
172.791,-44.003,760.0,1
172.8,-44.003,760.0,1
172.809,-44.003,760.0,1
172.818,-44.003,760.0,1
172.827,-44.003,760.0,1
172.836,-44.003,760.0,1
172.845,-44.003,760.0,1
172.854,-44.003,760.0,1
172.863,-44.003,760.0,1
172.872,-44.003,760.0,1
172.881,-44.003,760.0,1
172.89,-44.003,760.0,1
172.899,-44.003,760.0,1
172.908,-44.003,760.0,1
172.917,-44.003,760.0,1
172.926,-44.003,760.0,1
172.935,-44.003,760.0,1
172.944,-44.003,760.0,1
172.953,-44.003,760.0,1
172.962,-44.003,760.0,1
172.971,-44.003,760.0,1
172.98,-44.003,760.0,1
172.989,-44.003,760.0,1
172.998,-44.003,760.0,1
173.007,-44.003,760.0,1
173.016,-44.003,760.0,1
173.025,-44.003,760.0,1
173.034,-44.003,760.0,1
173.043,-44.003,760.0,1
173.052,-44.003,760.0,1
173.061,-44.003,760.0,1
173.07,-44.003,760.0,1
173.079,-44.003,760.0,1
173.088,-44.003,760.0,1
173.097,-44.003,760.0,1
173.106,-44.003,760.0,1
173.115,-44.003,760.0,1
173.124,-44.003,760.0,1
173.133,-44.003,760.0,1
173.142,-44.003,760.0,1
173.151,-44.003,760.0,1
173.16,-44.003,760.0,1
173.169,-44.003,760.0,1
173.178,-44.003,760.0,1
173.187,-44.003,760.0,1
173.196,-44.003,760.0,1
173.205,-44.003,760.0,1
173.214,-44.003,760.0,1
173.223,-44.003,760.0,1
173.232,-44.003,760.0,1
173.241,-44.003,760.0,1
173.25,-44.003,760.0,1
173.259,-44.003,760.0,1
173.268,-44.003,760.0,1
173.277,-44.003,760.0,1
173.286,-44.003,760.0,1
173.295,-44.003,760.0,1
173.304,-44.003,760.0,1
173.313,-44.003,760.0,1
173.322,-44.003,760.0,1
173.331,-44.003,760.0,1
173.34,-44.003,760.0,1
173.349,-44.003,760.0,1
173.358,-44.003,760.0,1
173.367,-44.003,760.0,1
173.376,-44.003,760.0,1
173.385,-44.003,760.0,1
173.394,-44.003,760.0,1
172.161,-43.994,760.0,1
172.17,-43.994,760.0,1
172.179,-43.994,760.0,1
172.188,-43.994,760.0,1
172.197,-43.994,760.0,1
172.206,-43.994,760.0,1
172.215,-43.994,760.0,1
172.224,-43.994,760.0,1
172.233,-43.994,760.0,1
172.242,-43.994,760.0,1
172.251,-43.994,760.0,1
172.26,-43.994,760.0,1
172.269,-43.994,760.0,1
172.278,-43.994,760.0,1
172.287,-43.994,760.0,1
172.296,-43.994,760.0,1
172.305,-43.994,760.0,1
172.314,-43.994,760.0,1
172.323,-43.994,760.0,1
172.332,-43.994,760.0,1
172.341,-43.994,760.0,1
172.35,-43.994,760.0,1
172.359,-43.994,760.0,1
172.368,-43.994,760.0,1
172.377,-43.994,760.0,1
172.386,-43.994,760.0,1
172.395,-43.994,760.0,1
172.404,-43.994,760.0,1
172.413,-43.994,760.0,1
172.422,-43.994,760.0,1
172.431,-43.994,760.0,1
172.44,-43.994,760.0,1
172.449,-43.994,760.0,1
172.458,-43.994,760.0,1
172.467,-43.994,760.0,1
172.476,-43.994,760.0,1
172.485,-43.994,760.0,1
172.494,-43.994,760.0,1
172.503,-43.994,760.0,1
172.512,-43.994,760.0,1
172.521,-43.994,760.0,1
172.53,-43.994,760.0,1
172.539,-43.994,760.0,1
172.548,-43.994,760.0,1
172.557,-43.994,760.0,1
172.566,-43.994,760.0,1
172.575,-43.994,760.0,1
172.584,-43.994,760.0,1
172.593,-43.994,760.0,1
172.602,-43.994,760.0,1
172.611,-43.994,760.0,1
172.62,-43.994,760.0,1
172.629,-43.994,760.0,1
172.638,-43.994,760.0,1
172.647,-43.994,760.0,1
172.656,-43.994,760.0,1
172.665,-43.994,760.0,1
172.674,-43.994,760.0,1
172.683,-43.994,760.0,1
172.692,-43.994,760.0,1
172.701,-43.994,760.0,1
172.71,-43.994,760.0,1
172.719,-43.994,760.0,1
172.728,-43.994,760.0,1
172.737,-43.994,760.0,1
172.746,-43.994,760.0,1
172.755,-43.994,760.0,1
172.764,-43.994,760.0,1
172.773,-43.994,760.0,1
172.782,-43.994,760.0,1
172.791,-43.994,760.0,1
172.8,-43.994,760.0,1
172.809,-43.994,760.0,1
172.818,-43.994,760.0,1
172.827,-43.994,760.0,1
172.836,-43.994,760.0,1
172.845,-43.994,760.0,1
172.854,-43.994,760.0,1
172.863,-43.994,760.0,1
172.872,-43.994,760.0,1
172.881,-43.994,760.0,1
172.89,-43.994,760.0,1
172.899,-43.994,760.0,1
172.908,-43.994,760.0,1
172.917,-43.994,760.0,1
172.926,-43.994,760.0,1
172.935,-43.994,760.0,1
172.944,-43.994,760.0,1
172.953,-43.994,760.0,1
172.962,-43.994,760.0,1
172.971,-43.994,760.0,1
172.98,-43.994,760.0,1
172.989,-43.994,760.0,1
172.998,-43.994,760.0,1
173.007,-43.994,760.0,1
173.016,-43.994,760.0,1
173.025,-43.994,760.0,1
173.034,-43.994,760.0,1
173.043,-43.994,760.0,1
173.052,-43.994,760.0,1
173.061,-43.994,760.0,1
173.07,-43.994,760.0,1
