#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
custom_site_id,lon,lat,gmv_PGA,gsd_PGA,gmv_SA(0.1),gsd_SA(0.1),gmv_SA(0.3),gsd_SA(0.3),gmv_SA(0.5),gsd_SA(0.5),gmv_SA(0.7),gsd_SA(0.7),gmv_SA(1.0),gsd_SA(1.0),gmv_SA(1.5),gsd_SA(1.5)
rb4vqj21,1.72881E+02,-4.40480E+01,2.57533E-02,1.37511E+00,5.28542E-02,1.36942E+00,5.13923E-02,1.37587E+00,3.65313E-02,1.36789E+00,2.68215E-02,1.36474E+00,1.80699E-02,1.35476E+00,1.04066E-02,1.35725E+00
rb4vqjq9,1.72890E+02,-4.40480E+01,2.55782E-02,1.37481E+00,5.24706E-02,1.36902E+00,5.10509E-02,1.37586E+00,3.63058E-02,1.36790E+00,2.66631E-02,1.36472E+00,1.79679E-02,1.35464E+00,1.03513E-02,1.35687E+00
rb4vqmm1,1.72899E+02,-4.40480E+01,2.53999E-02,1.37450E+00,5.20800E-02,1.36861E+00,5.07032E-02,1.37586E+00,3.60762E-02,1.36792E+00,2.65019E-02,1.36472E+00,1.78640E-02,1.35450E+00,1.02949E-02,1.35648E+00
rb4vqt7c,1.72908E+02,-4.40480E+01,2.52187E-02,1.37420E+00,5.16829E-02,1.36821E+00,5.03497E-02,1.37586E+00,3.58428E-02,1.36795E+00,2.63379E-02,1.36471E+00,1.77584E-02,1.35437E+00,1.02377E-02,1.35611E+00
rb4vqv63,1.72917E+02,-4.40480E+01,2.50347E-02,1.37390E+00,5.12799E-02,1.36781E+00,4.99908E-02,1.37588E+00,3.56058E-02,1.36799E+00,2.61714E-02,1.36471E+00,1.76512E-02,1.35424E+00,1.01796E-02,1.35572E+00
rb4vrj2c,1.72926E+02,-4.40480E+01,2.48482E-02,1.37360E+00,5.08715E-02,1.36740E+00,4.96271E-02,1.37591E+00,3.53655E-02,1.36802E+00,2.60027E-02,1.36471E+00,1.75426E-02,1.35410E+00,1.01206E-02,1.35532E+00
rb4vrjr3,1.72935E+02,-4.40480E+01,2.46594E-02,1.37330E+00,5.04580E-02,1.36701E+00,4.92587E-02,1.37594E+00,3.51223E-02,1.36807E+00,2.58318E-02,1.36472E+00,1.74325E-02,1.35398E+00,1.00610E-02,1.35493E+00
rb4vrmmc,1.72944E+02,-4.40480E+01,2.44685E-02,1.37301E+00,5.00399E-02,1.36662E+00,4.88863E-02,1.37599E+00,3.48763E-02,1.36813E+00,2.56590E-02,1.36473E+00,1.73212E-02,1.35386E+00,1.00006E-02,1.35452E+00
rb4vrtk9,1.72953E+02,-4.40480E+01,2.42756E-02,1.37272E+00,4.96178E-02,1.36622E+00,4.85101E-02,1.37604E+00,3.46278E-02,1.36819E+00,2.54844E-02,1.36475E+00,1.72088E-02,1.35373E+00,9.93969E-03,1.35413E+00
rb4vrv71,1.72962E+02,-4.40480E+01,2.40811E-02,1.37243E+00,4.91919E-02,1.36583E+00,4.81305E-02,1.37610E+00,3.43771E-02,1.36826E+00,2.53083E-02,1.36477E+00,1.70954E-02,1.35360E+00,9.87819E-03,1.35373E+00
rb5j2j39,1.72971E+02,-4.40480E+01,2.38850E-02,1.37215E+00,4.87628E-02,1.36545E+00,4.77480E-02,1.37618E+00,3.41244E-02,1.36833E+00,2.51307E-02,1.36478E+00,1.69811E-02,1.35347E+00,9.81620E-03,1.35331E+00
rb5j2m21,1.72980E+02,-4.40480E+01,2.36875E-02,1.37186E+00,4.83308E-02,1.36507E+00,4.73628E-02,1.37627E+00,3.38699E-02,1.36841E+00,2.49520E-02,1.36483E+00,1.68660E-02,1.35335E+00,9.75377E-03,1.35290E+00
rb5j2mq9,1.72989E+02,-4.40480E+01,2.34889E-02,1.37158E+00,4.78964E-02,1.36471E+00,4.69754E-02,1.37636E+00,3.36140E-02,1.36851E+00,2.47721E-02,1.36486E+00,1.67502E-02,1.35323E+00,9.69098E-03,1.35250E+00
rb5j2tm3,1.72998E+02,-4.40480E+01,2.32893E-02,1.37131E+00,4.74599E-02,1.36435E+00,4.65860E-02,1.37647E+00,3.33567E-02,1.36861E+00,2.45914E-02,1.36491E+00,1.66338E-02,1.35312E+00,9.62786E-03,1.35211E+00
rb5j2v7c,1.73007E+02,-4.40480E+01,2.30889E-02,1.37105E+00,4.70216E-02,1.36400E+00,4.61949E-02,1.37659E+00,3.30983E-02,1.36871E+00,2.44098E-02,1.36496E+00,1.65169E-02,1.35300E+00,9.56446E-03,1.35169E+00
rb5j3j63,1.73016E+02,-4.40480E+01,2.28879E-02,1.37080E+00,4.65820E-02,1.36366E+00,4.58026E-02,1.37672E+00,3.28390E-02,1.36883E+00,2.42277E-02,1.36501E+00,1.63995E-02,1.35289E+00,9.50084E-03,1.35129E+00
