#,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
custom_site_id,lon,lat
rb4vd8x4,172.73700,-44.03000
rb4vdbtf,172.74600,-44.03000
rb4ve0s6,172.75500,-44.03000
rb4ve2df,172.76400,-44.03000
rb4ve896,172.77300,-44.03000
rb4veb84,172.78200,-44.03000
rb4vebwd,172.79100,-44.03000
rb4vs0t4,172.80000,-44.03000
rb4vs2ed,172.80900,-44.03000
rb4vs8d4,172.81800,-44.03000
rb4vsb8f,172.82700,-44.03000
rb4vsbx6,172.83600,-44.03000
rb4vt0tf,172.84500,-44.03000
rb4vt2s6,172.85400,-44.03000
rb4vt8df,172.86300,-44.03000
rb4vtb9d,172.87200,-44.03000
rb4vw084,172.88100,-44.03000
rb4vw0wd,172.89000,-44.03000
rb4vw2t4,172.89900,-44.03000
rb4vw8ef,172.90800,-44.03000
rb4vwbd6,172.91700,-44.03000
rb4vx08f,172.92600,-44.03000
rb4vx0x6,172.93500,-44.03000
rb4vx2tf,172.94400,-44.03000
rb4vx8sd,172.95300,-44.03000
rb4vxbe4,172.96200,-44.03000
rb5j809d,172.97100,-44.03000
rb5j8284,172.98000,-44.03000
rb5j82wd,172.98900,-44.03000
rb5j88t6,172.99800,-44.03000
rb5j8bef,173.00700,-44.03000
rb5j90d6,173.01600,-44.03000
rb5j928f,173.02500,-44.03000
rb5j92xd,173.03400,-44.03000
rb5j98w4,173.04300,-44.03000
rb5j9bsd,173.05200,-44.03000
rb5jd0e4,173.06100,-44.03000
rb5jd29d,173.07000,-44.03000
rb5jd886,173.07900,-44.03000
rb5jd8wf,173.08800,-44.03000
rb5jdbt6,173.09700,-44.03000
rb5je0ef,173.10600,-44.03000
rb5je2d6,173.11500,-44.03000
rb5je894,173.12400,-44.03000
rb5je8xd,173.13300,-44.03000
rb5jebw4,173.14200,-44.03000
rb5js0sd,173.15100,-44.03000
rb5js2e6,173.16000,-44.03000
rb5js89f,173.16900,-44.03000
rb5jsb86,173.17800,-44.03000
rb5jsbwf,173.18700,-44.03000
rb5jt0t6,173.19600,-44.03000
rb5jt2s4,173.20500,-44.03000
rb5jt8dd,173.21400,-44.03000
rb5jtb94,173.22300,-44.03000
rb5jtbxd,173.23200,-44.03000
rb5jw0w4,173.24100,-44.03000
rb5jw2sf,173.25000,-44.03000
rb5jw8e6,173.25900,-44.03000
rb5jwb9f,173.26800,-44.03000
rb5jx086,173.27700,-44.03000
rb5jx0x4,173.28600,-44.03000
rb5jx2td,173.29500,-44.03000
rb5jx8s4,173.30400,-44.03000
rb5jxbdd,173.31300,-44.03000
rb5m8094,173.32200,-44.03000
rb5m80xf,173.33100,-44.03000
rb5m82w6,173.34000,-44.03000
rb5m88sf,173.34900,-44.03000
rb5m8be6,173.35800,-44.03000
