#,,,,,,,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
sids,lon,lat,depth,vs30,vs30measured,z1pt0,z2pt5,custom_site_id
78,172.86300,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vmt6c
79,172.87200,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vmv39
80,172.88100,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vqj21
81,172.89000,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vqjq9
82,172.89900,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vqmm1
83,172.90800,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vqt7c
84,172.91700,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vqv63
85,172.92600,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vrj2c
86,172.93500,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vrjr3
87,172.94400,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vrmmc
88,172.95300,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vrtk9
89,172.96200,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vrv71
90,172.97100,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j2j39
91,172.98000,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j2m21
92,172.98900,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j2mq9
93,172.99800,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j2tm3
94,173.00700,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j2v7c
95,173.01600,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j3j63
96,173.02500,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j3m2c
97,173.03400,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j3mr9
98,173.04300,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j3tq1
99,173.05200,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j3vk9
100,173.06100,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j6j71
101,173.07000,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j6m39
102,173.07900,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j6t23
103,173.08800,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j6tqc
104,173.09700,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j6vm3
105,173.10600,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j7j7c
106,173.11500,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j7m63
107,173.12400,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j7t31
108,173.13300,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j7tr9
109,173.14200,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j7vq1
110,173.15100,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jkjk9
111,173.16000,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jkm73
112,173.16900,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jkt3c
113,173.17800,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jkv23
114,173.18700,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jkvqc
115,173.19600,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jmjm3
116,173.20500,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jmmk1
117,173.21400,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jmt69
118,173.22300,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jmv31
119,173.23200,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jmvr9
120,173.24100,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jqjq1
121,173.25000,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jqmkc
122,173.25900,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jqt73
123,173.26800,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jqv3c
124,173.27700,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jrj23
125,173.28600,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jrjr1
126,173.29500,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jrmm9
127,173.30400,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jrtk1
128,173.31300,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5jrv69
129,173.32200,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5m2j31
130,173.33100,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5m2jrc
131,173.34000,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5m2mq3
132,173.34900,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5m2tkc
133,173.35800,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5m2v73
134,173.36700,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5m3j3c
135,173.37600,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5m3m29
